ID	Type    Traffic
1	Server-side	497.6340651
2	Server-side	998.4566565
3	Server-side	1503.642259
4	Server-side	2010.295116
5	Server-side	2496.015858
6	Server-side	2983.878029
7	Server-side	3471.7402
8	Server-side	3959.88247
9	Server-side	4448.079737
10	Server-side	4939.560941
11	Server-side	5432.267299
12	Server-side	5922.415795
13	Server-side	6414.629846
14	Server-side	6906.843898
15	Server-side	7401.611634
16	Server-side	7900.024157
17	Server-side	8400.493245
18	Server-side	8900.962333
19	Server-side	9401.512953
20	Server-side	9902.110675
21	Server-side	10402.73497
22	Server-side	10903.41207
23	Server-side	11404.09513
24	Server-side	11906.84004
25	Server-side	12409.58495
26	Server-side	12914.32322
27	Server-side	13419.08157
28	Server-side	13923.81647
29	Server-side	14428.57854
30	Server-side	14931.22659
31	Server-side	15452.80884
32	Server-side	15972.80109
33	Server-side	16492.79334
34	Server-side	17013.84392
35	Server-side	17534.94221
36	Server-side	18056.07966
37	Server-side	18595.46028
38	Server-side	19137.87828
39	Server-side	19680.36058
40	Server-side	20222.84289
41	Server-side	20771.31139
42	Server-side	21321.85608
43	Server-side	21875.60367
44	Server-side	22430.69328
45	Server-side	22986.8883
46	Server-side	23543.70946
47	Server-side	24100.53061
48	Server-side	24657.60693
49	Server-side	25212.98104
50	Server-side	25770.17768
51	Server-side	26328.07937
52	Server-side	26887.20573
53	Server-side	27446.62609
54	Server-side	28006.04644
55	Server-side	28566.82933
56	Server-side	29129.17873
57	Server-side	29691.97429
58	Server-side	30261.93883
59	Server-side	30836.29331
60	Server-side	31410.84353
61	Server-side	31985.39375
62	Server-side	32562.86047
63	Server-side	33166.11181
64	Server-side	33769.99562
65	Server-side	34414.54061
66	Server-side	35063.39789
67	Server-side	35713.36937
68	Server-side	36363.34086
69	Server-side	37013.96502
70	Server-side	37666.84965
71	Server-side	38322.3987
72	Server-side	38978.08866
73	Server-side	39633.80794
74	Server-side	40289.54886
75	Server-side	40945.28979
76	Server-side	41603.53418
77	Server-side	42279.11009
78	Server-side	42866.90665
79	Server-side	43454.78419
80	Server-side	44042.68776
81	Server-side	44631.53023
82	Server-side	45220.37804
83	Server-side	45809.22585
84	Server-side	46398.68809
85	Server-side	46988.97956
86	Server-side	47543.05912
87	Server-side	48133.32658
88	Server-side	48719.77064
89	Server-side	49306.51326
90	Server-side	49893.25588
91	Server-side	50479.13889
92	Server-side	50771.18694
93	Server-side	51063.29091
94	Server-side	51355.39488
95	Server-side	51647.61811
96	Server-side	51939.8431
97	Server-side	52232.06976
98	Server-side	52524.31
99	Server-side	52816.54874
100	Server-side	53108.78782
101	Server-side	53401.02689
102	Server-side	53693.33211
103	Server-side	53985.63899
104	Server-side	54277.94838
105	Server-side	54570.2586
106	Server-side	54862.58332
107	Server-side	55155.38749
108	Server-side	55448.19166
109	Server-side	55745.11447
110	Server-side	56042.78601
111	Server-side	56343.67004
112	Server-side	56644.7582
113	Server-side	56945.92408
114	Server-side	57247.12726
115	Server-side	57548.33044
1	Client-side	244.968152
2	Client-side	249.0227688
3	Client-side	256.1484538
4	Client-side	260.5818739
5	Client-side	264.5916755
6	Client-side	267.1892009
7	Client-side	268.815977
8	Client-side	271.9242217
9	Client-side	274.5268787
10	Client-side	279.8726079
11	Client-side	283.1217635
12	Client-side	285.8908364
13	Client-side	287.9126612
14	Client-side	289.5542502
15	Client-side	294.340127
16	Client-side	302.09365
17	Client-side	304.2690725
18	Client-side	305.9417001
19	Client-side	308.4259016
20	Client-side	310.6391633
21	Client-side	312.8469021
22	Client-side	315.0413803
23	Client-side	317.8420444
24	Client-side	320.0850771
25	Client-side	321.7642695
26	Client-side	325.355533
27	Client-side	328.5056837
28	Client-side	331.2089283
29	Client-side	333.7496518
30	Client-side	336.7049013
31	Client-side	355.5452471
32	Client-side	357.7667783
33	Client-side	359.4984043
34	Client-side	364.7036707
35	Client-side	367.7244433
36	Client-side	369.8481204
37	Client-side	376.5160862
38	Client-side	380.1769362
39	Client-side	382.1244734
40	Client-side	383.9348554
41	Client-side	390.9155204
42	Client-side	395.0623548
43	Client-side	398.352648
44	Client-side	401.2668599
45	Client-side	405.3688514
46	Client-side	408.8146945
47	Client-side	410.6708483
48	Client-side	414.9789572
49	Client-side	418.7656667
50	Client-side	426.4728131
51	Client-side	428.7460284
52	Client-side	431.845655
53	Client-side	434.9415563
54	Client-side	436.7852918
55	Client-side	440.7590195
56	Client-side	443.1986777
57	Client-side	445.6706752
58	Client-side	448.9943916
59	Client-side	452.8686468
60	Client-side	455.1243478
61	Client-side	457.0180993
62	Client-side	460.9021452
63	Client-side	464.9185436
64	Client-side	467.6141346
65	Client-side	500.1128698
66	Client-side	505.1702092
67	Client-side	508.3939213
68	Client-side	510.5296498
69	Client-side	514.032425
70	Client-side	518.1483593
71	Client-side	522.6592141
72	Client-side	525.1798246
73	Client-side	527.6396576
74	Client-side	529.9613567
75	Client-side	532.1130925
76	Client-side	536.2066892
77	Client-side	556.7390281
78	Client-side	561.8219454
79	Client-side	564.2034832
80	Client-side	566.56468
81	Client-side	569.1690461
82	Client-side	571.1949575
83	Client-side	573.0971063
84	Client-side	575.8186155
85	Client-side	578.2231207
86	Client-side	581.1196806
87	Client-side	583.3739833
88	Client-side	585.4604505
89	Client-side	587.5622193
90	Client-side	589.4600535
91	Client-side	591.6846346
92	Client-side	593.9190034
93	Client-side	595.0163792
94	Client-side	595.9812337
95	Client-side	597.2003896
96	Client-side	598.2747137
97	Client-side	599.3536203
98	Client-side	600.5680372
99	Client-side	601.704637
100	Client-side	602.7771627
101	Client-side	603.7427287
102	Client-side	604.8819464
103	Client-side	605.9102002
104	Client-side	606.9409817
105	Client-side	607.9690996
106	Client-side	609.0101198
107	Client-side	610.4685783
108	Client-side	611.4358819
109	Client-side	614.1409959
110	Client-side	615.6085577
111	Client-side	617.0560553
112	Client-side	618.6487766
113	Client-side	619.8451109
114	Client-side	620.954484
115	Client-side	621.9500633

1	Two-stage	259.2498255
2	Two-stage	263.5637491
3	Two-stage	270.7034154
4	Two-stage	275.1496449
5	Two-stage	279.1678414
6	Two-stage	281.8685125
7	Two-stage	283.4952886
8	Two-stage	286.6440536
9	Two-stage	289.2562088
10	Two-stage	294.6239482
11	Two-stage	297.9307512
12	Two-stage	300.7065305
13	Two-stage	302.7292293
14	Two-stage	304.3708184
15	Two-stage	309.4910559
16	Two-stage	317.5078333
17	Two-stage	319.683271
18	Two-stage	321.3558986
19	Two-stage	323.8401159
20	Two-stage	326.0597555
21	Two-stage	328.2705737
22	Two-stage	330.4660624
23	Two-stage	333.27578
24	Two-stage	335.519695
25	Two-stage	337.1988873
26	Two-stage	341.0186574
27	Two-stage	344.1763137
28	Two-stage	346.8855309
29	Two-stage	349.4356439
30	Two-stage	352.4006379
