ID  type      throughput  
1	TEE       459.3658598
2	TEE       855.4988147
3	TEE       1148.65168
4	TEE       1098.790552
5	TEE       1091.706548
6	TEE       1096.565202
7	TEE       1011.082696
8	TEE       857.2377836
9	TEE       819.0700409
10	TEE       684.3485673
1   feature    448.8050015
2   feature    885.178322
3   feature    1109.073124
4   feature    1141.319093
5   feature    1118.544769
6   feature    1009.628826
7   feature    897.5423098
8   feature    773.4078221
9   feature    692.4626705
10  feature    606.745478
