ID  type      throughput  
1	TEE       278.68268
2	TEE       562.5245486
3	TEE       824.2565391
4	TEE       924.8889049
5	TEE       914.9294325
6	TEE       910.262004
7	TEE       873.6328158
8	TEE       854.5590915
9	TEE       846.6327836
10	TEE       838.4830989
1   firstFeature    203.6890798
2   firstFeature    384.8162916
3   firstFeature    564.4833058
4   firstFeature    756.3098137
5   firstFeature    855.3891185
6   firstFeature    882.2243426
7   firstFeature    850.9244069
8   firstFeature    831.480552
9   firstFeature    836.6499143
10  firstFeature    826.086255
1   minFeature      200.9866797
2   minFeature      380.1159279
3   minFeature      563.3441222
4   minFeature      759.1089366
5   minFeature      868.9579209
6   minFeature      868.9847136
7   minFeature      851.4586039
8   minFeature      834.6825262
9   minFeature      834.8094527
10  minFeature      822.6644043
1   allFeature      202.7120657
2   allFeature      383.0106357
3   allFeature      573.2450203
4   allFeature      748.798011
5   allFeature      863.9447345
6   allFeature      875.5117483
7   allFeature      850.7108147
8   allFeature      841.8685742
9   allFeature      832.1933116
10  allFeature      818.7405228
