Nsize type  performance threading
1 1stKeyGen 242377.0693 no
5 1stKeyGen 434219.5691 no
10  1stKeyGen 429576.8614 no
15  1stKeyGen 413929.0793 no
20  1stKeyGen 400819.1161 no
25  1stKeyGen 415444.9962 no
30  1stKeyGen 424553.7223 no
35  1stKeyGen 429204.1949 no
1 2ndKeyGen 454149.2993 no
5 2ndKeyGen 977763.4349 no
10  2ndKeyGen 1053190.376 no
15  2ndKeyGen 1128496.916 no
20  2ndKeyGen 1095469.919 no
25  2ndKeyGen 1060462.547 no
30  2ndKeyGen 1072290.918 no
35  2ndKeyGen 1073923.527 no
1 1stKeyGen 242207.3208 yes
5 1stKeyGen 849519.826  yes
10  1stKeyGen 729748.3849 yes
15  1stKeyGen 512011.8564 yes
20  1stKeyGen 505832.7019 yes
25  1stKeyGen 431030.3697 yes
30  1stKeyGen 413212.2682 yes
35  1stKeyGen 359634.5759 yes
1 2ndKeyGen 456119.0022 yes
5 2ndKeyGen 2236682.728 yes
10  2ndKeyGen 2894969.62  yes
15  2ndKeyGen 2661944.75  yes
20  2ndKeyGen 2577999.422 yes
25  2ndKeyGen 2609692.019 yes
30  2ndKeyGen 2498017.116 yes
35  2ndKeyGen 1758323.531 yes
