ID	Type	Traffic
1	Client-side	0.181511056
2	Client-side	0.387474548
3	Client-side	0.586455554
4	Client-side	0.785425995
5	Client-side	0.983799603
6	Client-side	1.241395638
7	Client-side	1.499315827
8	Client-side	1.651449304
9	Client-side	1.733608867
10	Client-side	1.886604657
11	Client-side	2.080321203
12	Client-side	2.273909116
13	Client-side	2.469973912
14	Client-side	2.669641771
15	Client-side	2.869655384
16	Client-side	3.072741608
17	Client-side	3.276218163
18	Client-side	3.471126106
19	Client-side	3.681539264
20	Client-side	3.867554604
21	Client-side	4.052241083
22	Client-side	4.350365897
23	Client-side	4.648833075
24	Client-side	4.946738414
25	Client-side	5.266508867
26	Client-side	5.690655248
27	Client-side	6.080913969
28	Client-side	6.473743103
29	Client-side	6.867913551
30	Client-side	7.300716242
31	Client-side	7.776596012
32	Client-side	8.199086912
33	Client-side	8.652444142
34	Client-side	9.098049796
35	Client-side	9.581199468
36	Client-side	9.710345498
37	Client-side	9.909095095
38	Client-side	10.11216416
39	Client-side	10.26341217
40	Client-side	10.41384548
41	Client-side	10.56452624
42	Client-side	10.68407313
43	Client-side	10.80570097
44	Client-side	10.97841371
45	Client-side	11.10162949
46	Client-side	11.28666973
47	Client-side	11.56840926
48	Client-side	11.56960072
49	Client-side	11.85972436
50	Client-side	12.25943991
51	Client-side	12.26009548
52	Client-side	12.26099603
53	Client-side	12.26189399
54	Client-side	12.26278953
55	Client-side	12.26368355
56	Client-side	12.2646309
57	Client-side	12.26556646
58	Client-side	12.26611504
59	Client-side	12.26666949
60	Client-side	12.26722832
61	Client-side	12.26794087
62	Client-side	12.268646
63	Client-side	12.26936511
64	Client-side	12.27009142
65	Client-side	12.27081923
66	Client-side	12.2715609
67	Client-side	12.27230535
68	Client-side	12.27302577
69	Client-side	12.27379539
70	Client-side	12.27447532
71	Client-side	12.27515868
72	Client-side	12.27624685
73	Client-side	12.27733263
74	Client-side	12.27841884
75	Client-side	12.27958623
76	Client-side	12.28112625
77	Client-side	12.28269792
78	Client-side	12.28427183
79	Client-side	12.28585614
80	Client-side	12.28743949
81	Client-side	12.28927998
82	Client-side	12.2909815
83	Client-side	12.86165296
1	Random-threshold	0.181511056
2	Random-threshold	0.428026363
3	Random-threshold	0.674565719
4	Random-threshold	0.921360598
5	Random-threshold	1.168191051
6	Random-threshold	1.42640421
7	Random-threshold	1.684288392
8	Random-threshold	1.836062212
9	Random-threshold	1.988185165
10	Random-threshold	2.141188681
11	Random-threshold	2.334924454
12	Random-threshold	2.529320469
13	Random-threshold	2.726465951
14	Random-threshold	2.926446776
15	Random-threshold	3.126803625
16	Random-threshold	3.33057032
17	Random-threshold	3.534581094
18	Random-threshold	3.733045895
19	Random-threshold	3.944372582
20	Random-threshold	4.130725543
21	Random-threshold	4.317699347
22	Random-threshold	4.617066804
23	Random-threshold	4.916504705
24	Random-threshold	5.216075014
