ID  type               throughput   fraction
1   DetectionAll       100.4021821	0.118414347
1   DetectionFirst     207.1208984	0.528563671	
1   DetectionMin       99.99851623	0.257451307
2   DetectionAll       192.4556951	0.43716864
2   DetectionFirst     269.1636858	2.919993049
2   DetectionMin       192.1420439	0.284235203
3   DetectionAll       262.5647537	0.725906121
3   DetectionFirst     265.2522116	2.292132179
3   DetectionMin       261.3063488	1.599862775
4   DetectionAll       218.0895538	2.518513398
4   DetectionFirst     221.1789213	8.344437089
4   DetectionMin       215.3249423	3.354385841
1   TEE                297.1062538	1.453192866
2   TEE                297.1062538	1.453192866
3   TEE                297.1062538	1.453192866
4   TEE                297.1062538	1.453192866
