BatchSize Type Performance
0 KeyEnclave  1.787456055
1 KeyEnclave  0.947973633
2 KeyEnclave  0.515934245
3 KeyEnclave  0.292973307
4 KeyEnclave  0.195971029
5 KeyEnclave  0.135232422
6 KeyEnclave  0.101547689
7 KeyEnclave  0.088666667
8 KeyEnclave  0.081190755
9 KeyEnclave  0.077631348
10  KeyEnclave  0.075921061
11  KeyEnclave  0.075118327
12  KeyEnclave  0.074713379
13  KeyEnclave  0.074574707
14  KeyEnclave  0.074848307
15  KeyEnclave  0.075259603
0 Client  0.426203125
1 Client  0.249970703
2 Client  0.152324219
3 Client  0.107435221
4 Client  0.08084554
5 Client  0.065265462
6 Client  0.063920736
7 Client  0.061833333
8 Client  0.064703288
9 Client  0.067953451
10  Client  0.065780599
11  Client  0.066206868
12  Client  0.066297852
13  Client  0.059787435
14  Client  0.05660319
15  Client  0.061913411
