Netspeed    type            throughput      fraction
1           SGX-1           106.566594      0.382860747
5           SGX-1           182.586360      2.640986335
10          SGX-1           193.590527      2.259536526
1           SGX-2           182.658827      0.873945374
5           SGX-2           188.256230      1.903064601
10          SGX-2           201.707978      2.197127207
1           NoProtect-1     106.208586      0.458529632
5           NoProtect-1     239.335265      2.121911049
10          NoProtect-1     241.969661      3.099739395
1           NoProtect-2	    237.425711      4.784977775
5           NoProtect-2     241.828173      3.042839903
10          NoProtect-2	    249.687981      2.258650132
1           DupLESS         20.18803658     0.138387539	
5           DupLESS         20.12311653     0.104760002
10          DupLESS         20.07876602     0.085724505
