ID	Type    Traffic
1	Client-side 0.507734359	
2	Client-side 0.750592309	
3	Client-side 0.829648008	
4	Client-side 0.870376309	
5	Client-side 0.893994393	
6	Client-side 0.910455723	
7	Client-side 0.92257025	
8	Client-side 0.931330229	
9	Client-side 0.938281934	
10	Client-side 0.94334059	
11	Client-side 0.947881474	
12	Client-side 0.951727328	
13	Client-side 0.955116247	
14	Client-side 0.958077198	
15	Client-side 0.960232968	
16	Client-side 0.961760414	
17	Client-side 0.963779618	
18	Client-side 0.965628245	
19	Client-side 0.967194014	
20	Client-side 0.968628995	
21	Client-side 0.969926476	
22	Client-side 0.971106166	
23	Client-side 0.972129131	
24	Client-side 0.973117546	
25	Client-side 0.974071311	
26	Client-side 0.974806614	
27	Client-side 0.975519511	
28	Client-side 0.976212777	
29	Client-side 0.976868847	
30	Client-side 0.977449615	
31	Client-side 0.976991546	
32	Client-side 0.9776015	
33	Client-side 0.978202698	
34	Client-side 0.978564299	
35	Client-side 0.979029047	
36	Client-side 0.979516699	
37	Client-side 0.979752258	
38	Client-side 0.980134844	
39	Client-side 0.980583462	
40	Client-side 0.981014793	
41	Client-side 0.981180027	
42	Client-side 0.981471484	
43	Client-side 0.981790096	
44	Client-side 0.982110813	
45	Client-side 0.982365214	
46	Client-side 0.982635927	
47	Client-side 0.982960091	
48	Client-side 0.983170347	
49	Client-side 0.983390871	
50	Client-side 0.983450917	
51	Client-side 0.983715256	
52	Client-side 0.983938619	
53	Client-side 0.984153187	
54	Client-side 0.984403893	
55	Client-side 0.984570951	
56	Client-side 0.984785061	
57	Client-side 0.984990197	
58	Client-side 0.985163066	
59	Client-side 0.985313778	
60	Client-side 0.985510598	
61	Client-side 0.985711663	
62	Client-side 0.985845772	
63	Client-side 0.985982121	
64	Client-side 0.98615297	
65	Client-side 0.985467978	
66	Client-side 0.985592662	
67	Client-side 0.985764605	
68	Client-side 0.985960321	
69	Client-side 0.986112473	
70	Client-side 0.986243916	
71	Client-side 0.986361521	
72	Client-side 0.986526281	
73	Client-side 0.986687132	
74	Client-side 0.986846183	
75	Client-side 0.98700429	
76	Client-side 0.987111511	
77	Client-side 0.986831818	
78	Client-side 0.986893807	
79	Client-side 0.987016309	
80	Client-side 0.98713601	
81	Client-side 0.987247378	
82	Client-side 0.987368638	
83	Client-side 0.987489483	
84	Client-side 0.987589765	
85	Client-side 0.987694495	
86	Client-side 0.987776982	
