ID	Type		Traffic
1		Random-threshold	0.253402625
2		Random-threshold	0.400499294
3		Random-threshold	0.396286246
4		Random-threshold	0.369337266
5		Random-threshold	0.418680766
6		Random-threshold	0.455735264
7		Random-threshold	0.463634628
8		Random-threshold	0.498217146
9		Random-threshold	0.526867179
10		Random-threshold	0.559421252
11		Random-threshold	0.551919577
12		Random-threshold	0.579606193
13		Random-threshold	0.588257328
14		Random-threshold	0.575366583
15		Random-threshold	0.570359384
16		Random-threshold	0.554176612
17		Random-threshold	0.547741264
18		Random-threshold	0.562165093
19		Random-threshold	0.557903503
20		Random-threshold	0.554900376
21		Random-threshold	0.573806248
22		Random-threshold	0.565882421
23		Random-threshold	0.555701148
24		Random-threshold	0.546050953
25		Random-threshold	0.533356946
26		Random-threshold	0.539391963
27		Random-threshold	0.537583066
28		Random-threshold	0.529270964
29		Random-threshold	0.539293677
30		Random-threshold	0.539419856
31		Random-threshold	0.548030125
32		Random-threshold	0.552894486
33		Random-threshold	0.546126682
34		Random-threshold	0.537237364
35		Random-threshold	0.534527691
36		Random-threshold	0.527874815
37		Random-threshold	0.52082223
38		Random-threshold	0.518827078
39		Random-threshold	0.509198333
40		Random-threshold	0.520361927
41		Random-threshold	0.519155457
42		Random-threshold	0.521852668
43		Random-threshold	0.514174447
44		Random-threshold	0.514011813
45		Random-threshold	0.509635134
46		Random-threshold	0.507602417
47		Random-threshold	0.513194768
48		Random-threshold	0.511866869
49		Random-threshold	0.510214873
50		Random-threshold	0.507182265
51		Random-threshold	0.512637696
52		Random-threshold	0.515264665
53		Random-threshold	0.510043572
54		Random-threshold	0.515444439
55		Random-threshold	0.513662686
56		Random-threshold	0.515645148
57		Random-threshold	0.511353005
58		Random-threshold	0.516775911
59		Random-threshold	0.513103779
60		Random-threshold	0.504708168
61		Random-threshold	0.500461666
62		Random-threshold	0.505027158
63		Random-threshold	0.507786191
64		Random-threshold	0.503319989
65		Random-threshold	0.499521446
66		Random-threshold	0.494567818
67		Random-threshold	0.501418296
68		Random-threshold	0.508075551
69		Random-threshold	0.51071595
70		Random-threshold	0.50677719
71		Random-threshold	0.510236881
72		Random-threshold	0.505137787
73		Random-threshold	0.505085816
74		Random-threshold	0.503407575
75		Random-threshold	0.504209077
76		Random-threshold	0.501326273
77		Random-threshold	0.497546172
78		Random-threshold	0.501132194
79		Random-threshold	0.504362328
80		Random-threshold	0.501795613
81		Random-threshold	0.507417386
82		Random-threshold	0.512871651
83		Random-threshold	0.509787664
84		Random-threshold	0.511435682
85		Random-threshold	0.507919456
86		Random-threshold	0.505234337
87		Random-threshold	0.503054006
88		Random-threshold	0.49945455
89		Random-threshold	0.503077333
90		Random-threshold	0.50057878
91		Random-threshold	0.499963077
92		Random-threshold	0.502546411
93		Random-threshold	0.505477342
94		Random-threshold	0.505337351
95		Random-threshold	0.508423133
96		Random-threshold	0.51303459
97		Random-threshold	0.509926604
98		Random-threshold	0.514472396
99		Random-threshold	0.512165814
100		Random-threshold	0.512794733
101		Random-threshold	0.510691672
102		Random-threshold	0.508393102
103		Random-threshold	0.505414944
104		Random-threshold	0.509960507
105		Random-threshold	0.506926771
106		Random-threshold	0.5090663
107		Random-threshold	0.506574582
108		Random-threshold	0.504213825
109		Random-threshold	0.501034954
110		Random-threshold	0.500155392
111		Random-threshold	0.498596266
112		Random-threshold	0.501034387
113		Random-threshold	0.500894657
114		Random-threshold	0.498209354
115		Random-threshold	0.501949803
116		Random-threshold	0.50145683
117		Random-threshold	0.505335039
118		Random-threshold	0.502787183
119		Random-threshold	0.5008724
120		Random-threshold	0.49894513
121		Random-threshold	0.499370174
122		Random-threshold	0.497172507
123		Random-threshold	0.494581669
124		Random-threshold	0.492274021
125		Random-threshold	0.490204146
126		Random-threshold	0.492152635
127		Random-threshold	0.4932021
128		Random-threshold	0.493242701
129		Random-threshold	0.491239997
130		Random-threshold	0.4896399
131		Random-threshold	0.489151498
132		Random-threshold	0.486915386
133		Random-threshold	0.486097885
134		Random-threshold	0.483862944
135		Random-threshold	0.48226611
136		Random-threshold	0.481015634
137		Random-threshold	0.484322777
138		Random-threshold	0.482991257
139		Random-threshold	0.486390027
140		Random-threshold	0.484669592
1	Two-stage   0.254305434	
2	Two-stage   0.380598327	
3	Two-stage   0.34863859	
4	Two-stage   0.334976304	
5	Two-stage   0.376803102	
6	Two-stage   0.40943103	
7	Two-stage   0.437554948	
8	Two-stage   0.459492436	
9	Two-stage   0.484615712	
10	Two-stage   0.464970619	
11	Two-stage   0.4490297	
12	Two-stage   0.433144964	
13	Two-stage   0.438866721	
14	Two-stage   0.433452923	
15	Two-stage   0.447922199	
16	Two-stage   0.457311783	
17	Two-stage   0.466262292	
18	Two-stage   0.472195205	
19	Two-stage   0.475539862	
20	Two-stage   0.482142007	
21	Two-stage   0.488255129	
22	Two-stage   0.496442912	
23	Two-stage   0.495342716	
24	Two-stage   0.487107301	
25	Two-stage   0.483183009	
26	Two-stage   0.491390881	
27	Two-stage   0.497328205	
28	Two-stage   0.489873974	
29	Two-stage   0.481894422	
30	Two-stage   0.482823033	
31	Two-stage   0.478830245	
32	Two-stage   0.472816107	
33	Two-stage   0.47638565	
34	Two-stage   0.468969765	
35	Two-stage   0.470748897	
36	Two-stage   0.474596464	
37	Two-stage   0.479001942	
38	Two-stage   0.479902331	
39	Two-stage   0.471438378	
40	Two-stage   0.474878844	
41	Two-stage   0.479683837	
42	Two-stage   0.477615812	
43	Two-stage   0.482516729	
44	Two-stage   0.487550698	
45	Two-stage   0.485363941	
46	Two-stage   0.48207663	
47	Two-stage   0.486652393	
48	Two-stage   0.487368088	
49	Two-stage   0.488488342	
50	Two-stage   0.487957634	
51	Two-stage   0.481933452	
52	Two-stage   0.479258572	
53	Two-stage   0.475674323	
54	Two-stage   0.471620807	
55	Two-stage   0.472302129	
56	Two-stage   0.473362722	
57	Two-stage   0.470431203	
58	Two-stage   0.466186405	
59	Two-stage   0.466557972	
60	Two-stage   0.459963377	
61	Two-stage   0.46240125	
62	Two-stage   0.464181624	
63	Two-stage   0.46529412	
64	Two-stage   0.463280947	
65	Two-stage   0.460694215	
66	Two-stage   0.459395483	
67	Two-stage   0.461606366	
68	Two-stage   0.460578071	
69	Two-stage   0.46411654	
70	Two-stage   0.463055999	
71	Two-stage   0.466327686	
72	Two-stage   0.467610484	
73	Two-stage   0.46869329	
74	Two-stage   0.469209811	
75	Two-stage   0.470428587	
76	Two-stage   0.471863745	
77	Two-stage   0.473641884	
78	Two-stage   0.474914967	
79	Two-stage   0.472638413	
80	Two-stage   0.471912464	
81	Two-stage   0.473587788	
82	Two-stage   0.472587577	
83	Two-stage   0.47481708	
84	Two-stage   0.477550595	
85	Two-stage   0.476513241	
86	Two-stage   0.476196749	
87	Two-stage   0.477009877	
88	Two-stage   0.474586181	
89	Two-stage   0.471778573	
90	Two-stage   0.472972351	
91	Two-stage   0.473905008	
92	Two-stage   0.471991814	
93	Two-stage   0.473078213	
94	Two-stage   0.4725862	
95	Two-stage   0.470766121	
96	Two-stage   0.472152145	
97	Two-stage   0.471000852	
98	Two-stage   0.470195397	
99	Two-stage   0.472087492	
100	Two-stage   0.474414722	
101	Two-stage   0.473968848	
102	Two-stage   0.473189308	
103	Two-stage   0.472376819	
104	Two-stage   0.474644195	
105	Two-stage   0.473662631	
106	Two-stage   0.47114531	
107	Two-stage   0.470869147	
108	Two-stage   0.471746944	
109	Two-stage   0.472203305	
110	Two-stage   0.470558559	
111	Two-stage   0.471898835	
112	Two-stage   0.472802589	
113	Two-stage   0.472465333	
114	Two-stage   0.473662383	
115	Two-stage   0.474657411	
116	Two-stage   0.473713161	
117	Two-stage   0.473015567	
118	Two-stage   0.473151156	
119	Two-stage   0.474697276	
120	Two-stage   0.474968481	
121	Two-stage   0.474579625	
122	Two-stage   0.473921303	
123	Two-stage   0.47323347	
124	Two-stage   0.472139196	
125	Two-stage   0.471822532	
126	Two-stage   0.46968975	
127	Two-stage   0.470299924	
128	Two-stage   0.469536559	
129	Two-stage   0.47028468	
130	Two-stage   0.472353848	
131	Two-stage   0.472923784	
132	Two-stage   0.473387843	
133	Two-stage   0.475557225	
134	Two-stage   0.47654592	
135	Two-stage   0.476677051	
136	Two-stage   0.477728053	
137	Two-stage   0.478557299	
138	Two-stage   0.478627915	
139	Two-stage   0.478005501	
140	Two-stage   0.479278407	
1	Client-side 0.254305434	
2	Client-side 0.413246784	
3	Client-side 0.413483252	
4	Client-side 0.406026732	
5	Client-side 0.463085348	
6	Client-side 0.497121351	
7	Client-side 0.52723349	
8	Client-side 0.554093102	
9	Client-side 0.581766942	
10	Client-side 0.622631674	
11	Client-side 0.656317808	
12	Client-side 0.683540665	
13	Client-side 0.706261448	
14	Client-side 0.692910208	
15	Client-side 0.700621689	
16	Client-side 0.707249719	
17	Client-side 0.707138512	
18	Client-side 0.723185811	
19	Client-side 0.720984752	
20	Client-side 0.73433273	
21	Client-side 0.744931181	
22	Client-side 0.743742536	
23	Client-side 0.732195727	
24	Client-side 0.721215998	
25	Client-side 0.714912159	
26	Client-side 0.720683626	
27	Client-side 0.725722341	
28	Client-side 0.734531987	
29	Client-side 0.743199135	
30	Client-side 0.751137585	
31	Client-side 0.758150658	
32	Client-side 0.765425336	
33	Client-side 0.772272341	
34	Client-side 0.760498785	
35	Client-side 0.758513902	
36	Client-side 0.76510072	
37	Client-side 0.768032751	
38	Client-side 0.766885086	
39	Client-side 0.755127101	
40	Client-side 0.760338621	
41	Client-side 0.766098351	
42	Client-side 0.763189188	
43	Client-side 0.76537867	
44	Client-side 0.764675414	
45	Client-side 0.769969882	
46	Client-side 0.766711217	
47	Client-side 0.771370844	
48	Client-side 0.770068931	
49	Client-side 0.765722775	
50	Client-side 0.765263923	
51	Client-side 0.76937215	
52	Client-side 0.773728997	
53	Client-side 0.778044333	
54	Client-side 0.781867684	
55	Client-side 0.785507516	
56	Client-side 0.789175092	
57	Client-side 0.782722324	
58	Client-side 0.78617776	
59	Client-side 0.784514503	
60	Client-side 0.772426742	
61	Client-side 0.776099453	
62	Client-side 0.779635543	
63	Client-side 0.782863617	
64	Client-side 0.779379381	
65	Client-side 0.774517541	
66	Client-side 0.769520798	
67	Client-side 0.772399598	
68	Client-side 0.775538066	
69	Client-side 0.778853832	
70	Client-side 0.78204764	
71	Client-side 0.781795206	
72	Client-side 0.780227789	
73	Client-side 0.782351543	
74	Client-side 0.78502595	
75	Client-side 0.787125035	
76	Client-side 0.789736922	
77	Client-side 0.792357597	
78	Client-side 0.794963912	
79	Client-side 0.797335118	
80	Client-side 0.795823779	
81	Client-side 0.797928472	
82	Client-side 0.800232278	
83	Client-side 0.801956486	
84	Client-side 0.804356048	
85	Client-side 0.80668002	
86	Client-side 0.803900052	
87	Client-side 0.805643482	
88	Client-side 0.801279031	
89	Client-side 0.803317982	
90	Client-side 0.805407564	
91	Client-side 0.804609555	
92	Client-side 0.806591993	
